"province,""Confirmed Case"""
"Hà Nội,""1.642.679"""
"Hồ Chí Minh,""628.388"""
"Hải Phòng,""537.053"""
"Nghệ An,""501.445"""
"Bắc Giang,""391.384"""
"Vĩnh Phúc,""375.418"""
"Hải Dương,""372.146"""
"Quảng Ninh,""356.116"""
"Bắc Ninh,""353.691"""
"Thái Nguyên,""346.972"""
"Phú Thọ,""330.992"""
"Bình Dương,""325.199"""
"Nam Định,""300.981"""
"Thái Bình,""296.720"""
"Hưng Yên,""243.943"""
"Hòa Bình,""239.853"""
"Lào Cai,""188.491"""
"Thanh Hóa,""177.612"""
"Đắk Lắk,""172.439"""
"Lạng Sơn,""160.752"""
"Yên Bái,""157.429"""
"Sơn La,""153.357"""
"Cà Mau,""147.574"""
"Tuyên Quang,""147.291"""
"Tây Ninh,""140.248"""
"Bình Định,""139.474"""
"Quảng Bình,""129.258"""
"Hà Giang,""122.610"""
"Khánh Hòa,""121.589"""
"Bình Phước,""119.895"""
"Bà Rịa – Vũng Tàu,""110.570"""
"Đà Nẵng,""108.420"""
"Đồng Nai,""107.518"""
"Ninh Bình,""104.636"""
"Vĩnh Long,""103.302"""
"Bến Tre,""99.392"""
"Cao Bằng,""98.730"""
"Lâm Đồng,""97.595"""
"Hà Nam,""91.170"""
"Điện Biên,""90.478"""
"Quảng Trị,""85.975"""
"Cần Thơ,""76.852"""
"Bắc Kạn,""76.813"""
"Lai Châu,""75.348"""
"Trà Vinh,""75.129"""
"Đắk Nông,""73.427"""
"Gia Lai,""70.934"""
"Hà Tĩnh,""54.879"""
"Bình Thuận,""54.012"""
"Đồng Tháp,""51.474"""
"Quảng Ngãi,""50.379"""
"Long An,""50.161"""
"Quảng Nam,""49.465"""
"Thừa Thiên Huế,""48.061"""
"Bạc Liêu,""46.876"""
"Phú Yên,""44.149"""
"An Giang,""43.163"""
"Kiên Giang,""43.105"""
"Tiền Giang,""39.441"""
"Sóc Trăng,""34.448"""
"Kon Tum,""26.319"""
"Hậu Giang,""17.804"""
"Ninh Thuận,""8.883"""
